PartNumber,Description,Quantity,Location
00197363,"ROLLERCHAIN 20B-1  L=2508,25MM;79 LINKS",2,Unassigned
00197365,ROLLER CHAIN 20B-1,2,Unassigned
00197366,DRIVING SHAFT non sap d=65,1,Unassigned
00197369,LOCKING DEVICE non sap PSV 2005 ? 50x80,0,Unassigned
00197372,LOCKING DEVICE non sap PSV 2002 - 65x95,1,Unassigned
00197373,LOCKING DEVICE non sap PSV 2005 - 65x95,0,Unassigned
00197377,ECCENTRIC non sap 50_D65_250,1,Unassigned
00197379,CHAIN WHEEL non sap 20B-1; Z=17; d=95,1,Unassigned
00197381,DRIVE SHAFT non sap d=65; l=826,1,Unassigned
00197635,FLANGE BEARING non sap UCFL 310,1,Unassigned
00197637,FLANGE BEARING non sap UCF 313,1,Unassigned
00213701,"ONE WAY LIGHT BARRIER
(PAIR) non sap LONG RANGE PHOTEYE
(PAIR)",0,Unassigned
00243589,"THREE PHASE SERVO MOTOR, FLANGE MCA 19S35-RS0P2-B28R-KS5F**N-R2SU

DPS lift motor",0,Unassigned
0035235H,"Chain Guide Rail CK G10 12B-1, L=2100",0,Unassigned
00389614,SELENOID COIL non sap LOGOPACK SELONOID,2,Unassigned
0041227H,Flange Bearing Rmey 80 RMEY 80,1,Unassigned
00412329,Oil Compensol 2006Vitamol ZH-M 5L V1 buffer oil 5L. can.,0,Unassigned
0041237H,"Chain 24B-2 24B-2, 17 LINKS , L=647,7cm",700,Unassigned
0041237H_2,"Chain 24B-2 24B-2, 59 LINKS L=2247,9cm",4,Unassigned
0041258H,"PEM Electrical Lifting Cylinder
RACO TYP T6G4 CVS CAP EX ITEM",0,Unassigned
0041346H,Ball Bearing Unit KGHK 50 BPPAS KGHK 50 BPPAS,2,Unassigned
0041347H,Drive Shaft 0041347H D=50; L=1300,1,Unassigned
0041377,Pressure Spring D-268D D-268D,10,Unassigned
0041789H,Flange Bearing TME 80 TME 80,1,Unassigned
0042135H,Trapeziodal thread worm shaft TR40x7 ri TR40X7 RIGHT,1,Unassigned
0042137H,Trapeziodal thread worm shaft TR40x7 le TR40X7 LEFT,1,Unassigned
0042576H,Deep Grove Ball Bearing 6216 2ZR 6216 2ZR,2,Unassigned
0042577 / 42575,CHAIN WHEEL non sap 24B-2; Z=15,1,Unassigned
0044455H,"Drive Shaft 0044455H D=80, L=1270",1,Unassigned
0044458H,"Drive Shaft 0044458H D=80, L=1400",1,Unassigned
00596521,"BFK458-08N (215V;25W;8Nm) Magnet stator for elem 04 clamp, pallet lift motor.",2,Unassigned
0074669,METAL PLATE METAL PLATE,4,Unassigned
009-00344,"000-00900344, BZOI , Schalter,  RAFI,  0403",5,Unassigned
010213,DILEM-10-G(24VDC) contactor operated,0,Unassigned
0110_29607,15889900/GST05-2MVCK071C32 Gear motor,0,Unassigned
0110_29620,GST04-2M VCK 063C42 BR Gear motor GST04-2M VCK 063C42 BRAKE,0,Unassigned
0110_29633,GST04-2M VCK 063C42 Gearmotor (131146) GST04-2MVCK-063C42,0,Unassigned
0110_31174,GST04-2MVCK071C42 Gearmotor ID:13101859,3,Unassigned
